perturbation,severity,time_s,value,window_start_s,window_stop_s
hf_burst,1.6,2.568,1.6504640579223633,1.0,1.496
hf_burst,1.6,2.576,1.6349960565567017,1.0,1.496
hf_burst,1.6,2.584,0.525076687335968,1.0,1.496
hf_burst,1.6,2.592,-0.11109627038240433,1.0,1.496
hf_burst,1.6,2.6,0.05589175969362259,1.0,1.496
hf_burst,1.6,2.608,-0.02605736441910267,1.0,1.496
hf_burst,1.6,2.616,-0.021998221054673195,1.0,1.496
hf_burst,1.6,2.624,-0.0598209984600544,1.0,1.496
hf_burst,1.6,2.632,-0.04783429577946663,1.0,1.496
hf_burst,1.6,2.64,-0.0560920275747776,1.0,1.496
hf_burst,1.6,2.648,-0.043972354382276535,1.0,1.496
hf_burst,1.6,2.656,-0.03592747822403908,1.0,1.496
hf_burst,1.6,2.664,-0.023969318717718124,1.0,1.496
hf_burst,1.6,2.672,-0.012814939022064209,1.0,1.496
hf_burst,1.6,2.68,-0.006390566937625408,1.0,1.496
hf_burst,1.6,2.688,0.003282784717157483,1.0,1.496
hf_burst,1.6,2.696,0.014947265386581421,1.0,1.496
hf_burst,1.6,2.704,0.03324827551841736,1.0,1.496
hf_burst,1.6,2.712,0.05227364972233772,1.0,1.496
hf_burst,1.6,2.72,0.0772709846496582,1.0,1.496
hf_burst,1.6,2.728,0.09860625118017197,1.0,1.496
hf_burst,1.6,2.736,0.1273549646139145,1.0,1.496
hf_burst,1.6,2.744,0.1563071757555008,1.0,1.496
hf_burst,1.6,2.752,0.19013965129852295,1.0,1.496
hf_burst,1.6,2.76,0.23270073533058167,1.0,1.496
hf_burst,1.6,2.768,0.2709663510322571,1.0,1.496
hf_burst,1.6,2.776,0.31475958228111267,1.0,1.496
hf_burst,1.6,2.784,0.34730368852615356,1.0,1.496
hf_burst,1.6,2.792,0.3720683157444,1.0,1.496
hf_burst,1.6,2.8,0.398715615272522,1.0,1.496
hf_burst,1.6,2.808,0.42328813672065735,1.0,1.496
hf_burst,1.6,2.816,0.42735788226127625,1.0,1.496
hf_burst,1.6,2.824,0.41041362285614014,1.0,1.496
hf_burst,1.6,2.832,0.3574070334434509,1.0,1.496
hf_burst,1.6,2.84,0.2825438976287842,1.0,1.496
hf_burst,1.6,2.848,0.20324113965034485,1.0,1.496
hf_burst,1.6,2.856,0.13039006292819977,1.0,1.496
hf_burst,1.6,2.864,0.07318946719169617,1.0,1.496
hf_burst,1.6,2.872,0.02746788039803505,1.0,1.496
hf_burst,1.6,2.88,0.0008836506167426705,1.0,1.496
hf_burst,1.6,2.888,-0.016786454245448112,1.0,1.496
hf_burst,1.6,2.896,-0.029986519366502762,1.0,1.496
hf_burst,1.6,2.904,-0.03807877376675606,1.0,1.496
hf_burst,1.6,2.912,-0.04454513266682625,1.0,1.496
hf_burst,1.6,2.92,-0.04690072685480118,1.0,1.496
hf_burst,1.6,2.928,-0.04519038647413254,1.0,1.496
hf_burst,1.6,2.936,-0.047532882541418076,1.0,1.496
hf_burst,1.6,2.944,-0.045124687254428864,1.0,1.496
hf_burst,1.6,2.952,-0.0451340526342392,1.0,1.496
hf_burst,1.6,2.96,-0.04447230324149132,1.0,1.496
hf_burst,1.6,2.968,-0.047853074967861176,1.0,1.496
hf_burst,1.6,2.976,-0.0424065999686718,1.0,1.496
hf_burst,1.6,2.984,-0.04412525147199631,1.0,1.496
hf_burst,1.6,2.992,-0.04225524887442589,1.0,1.496
hf_burst,1.6,3.0,-0.03978043794631958,1.0,1.496
hf_burst,1.6,3.008,-0.04359295219182968,1.0,1.496
hf_burst,1.6,3.016,-0.037953637540340424,1.0,1.496
hf_burst,1.6,3.024,-0.03625526279211044,1.0,1.496
hf_burst,1.6,3.032,-0.03757689893245697,1.0,1.496
hf_burst,1.6,3.04,-0.035550158470869064,1.0,1.496
hf_burst,1.6,3.048,-0.03673531860113144,1.0,1.496
hf_burst,1.6,3.056,-0.03889259696006775,1.0,1.496
hf_burst,1.6,3.064,-0.04168993979692459,1.0,1.496
hf_burst,1.6,3.072,-0.04251118376851082,1.0,1.496
hf_burst,1.6,3.08,-0.03993319720029831,1.0,1.496
hf_burst,1.6,3.088,-0.04343968629837036,1.0,1.496
hf_burst,1.6,3.096,-0.05252579227089882,1.0,1.496
hf_burst,1.6,3.104,-0.0481252446770668,1.0,1.496
hf_burst,1.6,3.112,-0.053890690207481384,1.0,1.496
hf_burst,1.6,3.12,-0.030386582016944885,1.0,1.496
hf_burst,1.6,3.128,0.014643125236034393,1.0,1.496
hf_burst,1.6,3.136,0.02798093669116497,1.0,1.496
hf_burst,1.6,3.144,0.04070752114057541,1.0,1.496
hf_burst,1.6,3.152,0.07618818432092667,1.0,1.496
hf_burst,1.6,3.16,0.09177184849977493,1.0,1.496
hf_burst,1.6,3.168,0.08918767422437668,1.0,1.496
hf_burst,1.6,3.176,0.10237462818622589,1.0,1.496
hf_burst,1.6,3.184,0.09814973920583725,1.0,1.496
hf_burst,1.6,3.192,0.032357968389987946,1.0,1.496
hf_burst,1.6,3.2,-0.03402765095233917,1.0,1.496
hf_burst,1.6,3.208,-0.057719793170690536,1.0,1.496
hf_burst,1.6,3.216,-0.07489320635795593,1.0,1.496
hf_burst,1.6,3.224,-0.08575717359781265,1.0,1.496
hf_burst,1.6,3.232,-0.08324065059423447,1.0,1.496
hf_burst,1.6,3.24,-0.08603719621896744,1.0,1.496
hf_burst,1.6,3.248,-0.09448494762182236,1.0,1.496
hf_burst,1.6,3.256,-0.08558646589517593,1.0,1.496
hf_burst,1.6,3.264,-0.0831906646490097,1.0,1.496
hf_burst,1.6,3.272,-0.0764143094420433,1.0,1.496
hf_burst,1.6,3.28,-0.0966891497373581,1.0,1.496
hf_burst,1.6,3.288,-0.10971277952194214,1.0,1.496
hf_burst,1.6,3.296,0.19372576475143433,1.0,1.496
hf_burst,1.6,3.304,1.0476175546646118,1.0,1.496
hf_burst,1.6,3.312,1.6632452011108398,1.0,1.496
hf_burst,1.6,3.32,1.6734322309494019,1.0,1.496
hf_burst,1.6,3.328,0.6693788170814514,1.0,1.496
hf_burst,1.6,3.336,-0.06376441568136215,1.0,1.496
hf_burst,1.6,3.344,0.06733468919992447,1.0,1.496
hf_burst,1.6,3.352,-0.005659040063619614,1.0,1.496
hf_burst,1.6,3.36,-0.008469813503324986,1.0,1.496
hf_burst,1.6,3.368,-0.05256683751940727,1.0,1.496
hf_burst,1.6,3.376,-0.043967947363853455,1.0,1.496
hf_burst,1.6,3.384,-0.052090901881456375,1.0,1.496
hf_burst,1.6,3.392,-0.040113501250743866,1.0,1.496
hf_burst,1.6,3.4,-0.037469375878572464,1.0,1.496
hf_burst,1.6,3.408,-0.03350895643234253,1.0,1.496
hf_burst,1.6,3.416,-0.020327163860201836,1.0,1.496
hf_burst,1.6,3.424,-0.012245253659784794,1.0,1.496
hf_burst,1.6,3.432,0.0026336514856666327,1.0,1.496
hf_burst,1.6,3.44,0.0120669761672616,1.0,1.496
hf_burst,1.6,3.448,0.026090005412697792,1.0,1.496
hf_burst,1.6,3.456,0.04781883582472801,1.0,1.496
hf_burst,1.6,3.464,0.07168525457382202,1.0,1.496
hf_burst,1.6,3.472,0.09657537192106247,1.0,1.496
hf_burst,1.6,3.48,0.12693610787391663,1.0,1.496
hf_burst,1.6,3.488,0.15672960877418518,1.0,1.496
hf_burst,1.6,3.496,0.1980639100074768,1.0,1.496
hf_burst,1.6,3.504,0.2351091355085373,1.0,1.496
hf_burst,1.6,3.512,0.27339935302734375,1.0,1.496
hf_burst,1.6,3.52,0.3169933557510376,1.0,1.496
hf_burst,1.6,3.528,0.35586827993392944,1.0,1.496
hf_burst,1.6,3.536,0.3848859667778015,1.0,1.496
