pair_id,direction,control,recipient_class,window_start_s,window_stop_s,accepted,sqi_distance,delta_iSQI,delta_bSQI,delta_pSQI,delta_basSQI,qrs_same,delta_conformer_medium_logit,delta_conformer_bad_logit,delta_mlp_gm_margin,clean_mlp_gm_margin,cand_mlp_gm_margin,cand_conformer_pred
36,medium_into_good_random,random,good,2.864,3.864,0,0.35437335818510385,4.6629367034256575e-15,0.07142857142857106,0.0017436213168180448,0.00037512534703876277,0,0.1131511926651001,-0.036255836486816406,0.4865843940571204,-0.4640917644773299,0.02249262957979048,good
36,good_into_good_same_class,same-class,good,7.464,8.464,0,0.45533326135050256,5.551115123125783e-15,0.07142857142856629,0.0011577059885407026,0.0021108466492877342,0,0.14750468730926514,-0.07631969451904297,-0.3214191661998377,-0.4640917644773299,-0.7855109306771676,good
36,good_into_medium_top,top-local,medium,7.464,8.464,1,0.23547220446800923,0.0,0.0,0.0043138851805116785,0.012780808513663144,1,-0.016358181834220886,-0.020612716674804688,-0.3413733886536717,-0.34732408081432975,-0.6886974694680015,medium
36,good_into_medium_random,random,medium,2.864,3.864,0,0.31915183100018846,4.6629367034256575e-15,0.06666666666666221,0.0005410578383426845,0.0014072461279207582,0,-0.009949266910552979,0.04120779037475586,-0.42369982240040904,-0.34732408081432975,-0.7710239032147388,medium
36,medium_into_medium_same_class,same-class,medium,7.464,8.464,1,0.18336368877701653,0.0,0.0,0.004158578872751173,0.0020095219340724446,1,-0.0051828548312187195,-0.1498117446899414,-0.25524464781879697,-0.34732408081432975,-0.6025687286331267,medium
37,medium_into_good_top,top-local,good,1.176,2.176,1,0.6910984826776467,0.0,0.0,0.004911679364488997,0.01240053649106354,1,0.12836408615112305,0.004164695739746094,-0.7668896335306107,0.2426631297517995,-0.5242265037788112,good
37,medium_into_good_random,random,good,5.184,6.184,1,0.0750152386919403,0.0,0.0,0.002260203404834682,0.0007039430162913973,1,0.6107871532440186,0.0833120346069336,0.02689459693862717,0.2426631297517995,0.26955772669042666,good
37,good_into_good_same_class,same-class,good,1.176,2.176,0,1.0447688287652748,0.0,0.07142857142856629,0.004508335463151103,0.008185862225028595,0,-0.38287782669067383,-0.24050235748291016,-1.1655372179404497,0.2426631297517995,-0.9228740881886504,good
37,good_into_medium_top,top-local,medium,1.176,2.176,1,0.45601144002787064,0.0,0.0,0.0026569642549464367,0.012685610287060833,1,0.04345250874757767,-0.24419355392456055,0.3967016335527882,-0.2596626666446733,0.1370389669081149,medium
37,good_into_medium_random,random,medium,5.184,6.184,1,0.08298653116323082,0.0,0.0,1.2582692053064726e-05,0.001392058626918935,1,-0.03069489449262619,-0.005424022674560547,-0.01908528279668109,-0.2596626666446733,-0.2787479494413544,medium
37,medium_into_medium_same_class,same-class,medium,1.176,2.176,0,0.41463151295623285,4.6629367034256575e-15,0.004761904761908853,9.021394352415335e-05,0.0015332777709408107,0,0.024399198591709137,-0.2512698173522949,-0.2141300449739164,-0.2596626666446733,-0.4737927116185897,medium
38,medium_into_good_top,top-local,good,5.52,6.52,0,0.2957022507499244,0.0,0.060439560439551454,0.000267327223289926,0.012894549408469125,0,0.9778223037719727,0.024735450744628906,-0.11938149916373963,-1.78442022544646,-1.9038017246101997,good
38,medium_into_good_random,random,good,4.632,5.632,1,0.4783565008174361,0.0,0.0,6.909061848281439e-05,0.026440842839906442,1,0.9710240364074707,-0.02214527130126953,0.25190881084067707,-1.78442022544646,-1.532511414605783,good
